配台試行順番,配台不要,依頼NO,工程名,機械名,換算数量,未加工,配台使用残数量,受注数,加工速度,加工速度_上書き,製品名,ロール単位長さ,製品幅,製品厚み,回答納期,指定納期,原反投入日,原反投入日_上書き,在庫場所,使用原反,原反幅,加工内容,加工完了区分,実加工数,実出来高,加工工程の決定プロセスの因子,（元）加工速度_上書き,（元）原反投入日_上書き,（元）担当OP_指定,担当OP_指定,（元）特別指定_備考,特別指定_備考,AI特別指定_解析,製品長
1,,W4-5,検査,熱融着機　湖南,6600,3300,3300,6600,8,9.5,15020-JX5R-1300X300F-A   R,300,1300,2,2026/04/27,2026/04/27,2026/04/13,,K ,15020-AX5R-1300X300F-A   P,1300,"EC,検査",0:未完,3300,3300,検査+熱融着機　湖南,（8）,（2026/4/13）,（―）,,（―）,加工開始は4/20とする,,300
2,,Y4-34,SEC,SEC機　湖南,3000,0,3000,6000,25,,0R040-8Y0B- 680X200F-ABG1C,200,680,4,2026/04/20,2026/04/20,2026/04/14,,S ,50080-AY0B- 680X200F-ABG1C,680,SEC,0:未完,0,0,SEC+SEC機　湖南,（25）,（2026/4/14）,（―）,,（―）,,,200
3,,Y4-44,スリット,スリット機1　湖南,1000,0,1000,2000,10.12,20,30020-BY00- 500X250F-A   C,300,500,2,2026/04/20,2026/04/20,2026/04/17,,K ,30020-BY00-1040X250F-A   C,1040,スリット,0:未完,0,0,スリット+スリット機1　湖南,（10.12）,（2026/4/17）,（―）,,（―）,,,250
4,,JR260403,スリット,スリット機1　湖南,475,0,500,475,10.12,20,40040-R10W- 870X 95  LG,100,870,4,2026/04/21,2026/04/21,2026/04/17,2026/04/15,K ,FEL4004AY-10WD-1000X100   LG,1000,"SEC,梱包,スリット",0:未完,0,0,スリット+スリット機1　湖南,（10.12）,（2026/4/17）,（―）,,（―）,,,95
5,,Y4-38,スライス,スライス機1　湖南,600,0,600,1200,16.12,,30020-BG00-1030X200F-ABK0C,200,1030,2,2026/04/21,2026/04/21,2026/04/17,,K ,30040-AG00-1030X200F-ABK0C,1030,スライス,0:未完,0,0,スライス+スライス機1　湖南,（16.12）,（2026/4/17）,（―）,,（―）,,,200
6,,V4-10,接続,熱融着機　湖南,3200,0,3200,3200,15,20,30030-AT60-1000X200F-A   C,200,1000,3,2026/04/21,2026/04/21,2026/04/16,,S ,30030-AT60-1000X200F-A   F,1000,接続,0:未完,0,0,接続+熱融着機　湖南,（15）,（2026/4/16）,（―）,,（―）,,,200
7,,V4-11,接続,熱融着機　湖南,1000,0,1000,1000,15,20,30040-AS60-1000X200F-A   C,200,1000,4,2026/04/21,2026/04/21,2026/04/16,,S ,30040-AS60-1000X200F-A   F,1000,接続,0:未完,0,0,接続+熱融着機　湖南,（15）,（2026/4/16）,（―）,,（―）,,,200
8,,A4-2,巻返し,スリット機1　湖南,300,0,300,300,15,,30100-AG00-1000X 50F-A   X,100,1000,10,2026/04/21,2026/04/21,2026/04/17,,K ,30100-AG00-1000X 50F-A,1000,巻返し,0:未完,0,0,巻返し+スリット機1　湖南,（15）,（2026/4/17）,（―）,,（―）,,,50
9,,Y4-45,SEC,SEC機　湖南,3000,0,3000,6000,25,,0R040-8Y0B- 680X200F-A   C,200,680,4,2026/04/22,2026/04/22,2026/04/20,,K ,50080-AY0B- 680X200F-A   C,680,SEC,0:未完,0,0,SEC+SEC機　湖南,（25）,（2026/4/20）,（―）,,（―）,,,200
10,,A4-3,スライス,スライス機1　湖南,500,0,500,500,16.12,,50070-BY0B- 900X100F-ABK0X,100,900,7,2026/04/22,2026/04/22,2026/04/20,,K ,50090-AY0B- 900X100F-ABKOC,900,スライス,0:未完,0,0,スライス+スライス機1　湖南,（16.12）,（2026/4/20）,（―）,,（―）,,,100
